"lhs","","rhs","support","confidence","lift"
"{사랑은 언제나 진행중}","=>","{디어 존}",0.0103292446739832,0.695652173913043,10.0707029662739
"{딥워터 호라이즌}","=>","{공조}",0.0103292446739832,0.551724137931034,2.77474249888043
"{딥워터 호라이즌}","=>","{변호인}",0.0103292446739832,0.551724137931034,2.38720863032171
"{열한시}","=>","{곡성(哭聲)}",0.0109748224661072,0.566666666666667,2.15138888888889
"{파수꾼}","=>","{부산행}",0.0103292446739832,0.484848484848485,1.639804155088
"{점퍼}","=>","{부산행}",0.0109748224661072,0.548387096774194,1.85469784476687
"{러브 액츄얼리}","=>","{부산행}",0.0103292446739832,0.516129032258065,1.74559797154529
"{그물}","=>","{부산행}",0.0103292446739832,0.484848484848485,1.639804155088
"{언더 워터}","=>","{곡성(哭聲)}",0.0116204002582311,0.514285714285714,1.95252100840336
"{언더 워터}","=>","{부산행}",0.0116204002582311,0.514285714285714,1.73936369307548
"{아이언맨}","=>","{부산행}",0.0103292446739832,0.421052631578947,1.42404045047116
"{혐오스런 마츠코의 일생}","=>","{곡성(哭聲)}",0.0103292446739832,0.457142857142857,1.73557422969188
"{엽문 2}","=>","{미녀와 야수}",0.0109748224661072,0.586206896551724,2.631984007996
"{더 큐어}","=>","{너의 이름은.}",0.0109748224661072,0.447368421052632,2.31763773983454
"{엣지 오브 다크니스}","=>","{반가운 살인자}",0.013557133634603,0.65625,23.640261627907
"{반가운 살인자}","=>","{엣지 오브 다크니스}",0.013557133634603,0.488372093023256,23.640261627907
"{엣지 오브 다크니스}","=>","{디어 존}",0.0161394448030988,0.78125,11.3098714953271
"{판타스틱 4}","=>","{곡성(哭聲)}",0.0109748224661072,0.447368421052632,1.6984649122807
"{인페르노}","=>","{럭키}",0.0103292446739832,0.470588235294118,2.15663069961712
"{콘택트}","=>","{곡성(哭聲)}",0.0109748224661072,0.404761904761905,1.53670634920635
"{파이스토리 : 악당상어 소탕작전}","=>","{부산행}",0.0103292446739832,0.41025641025641,1.38752659276677
"{오피스}","=>","{부산행}",0.0109748224661072,0.447368421052632,1.5130429786256
"{해리 포터와 혼혈 왕자}","=>","{미녀와 야수}",0.0103292446739832,0.444444444444444,1.99549114331723
"{엽기적인 그녀 2}","=>","{곡성(哭聲)}",0.0148482892188509,0.657142857142857,2.49488795518207
"{존 윅 - 리로드}","=>","{로건}",0.0142027114267269,0.511627906976744,3.12012451931881
"{더 로드}","=>","{부산행}",0.0109748224661072,0.472222222222222,1.59710092188258
"{갓 오브 이집트}","=>","{럭키}",0.0122659780503551,0.487179487179487,2.2326657563344
"{몬스터}","=>","{곡성(哭聲)}",0.0109748224661072,0.404761904761905,1.53670634920635
"{내 사랑 내 곁에}","=>","{곡성(哭聲)}",0.0109748224661072,0.447368421052632,1.6984649122807
"{늑대아이}","=>","{부산행}",0.0116204002582311,0.428571428571429,1.44946974422957
"{치외법권}","=>","{명량}",0.0103292446739832,0.4,1.96698412698413
"{치외법권}","=>","{부산행}",0.0109748224661072,0.425,1.43739082969432
"{초속5센티미터}","=>","{너의 이름은.}",0.0103292446739832,0.432432432432432,2.24026032721685
"{데스 노트 - 라스트 네임}","=>","{데스 노트}",0.0103292446739832,0.421052631578947,8.58171745152355
"{채피}","=>","{부산행}",0.0122659780503551,0.441860465116279,1.49441454250025
"{그대를 사랑합니다}","=>","{명량}",0.0116204002582311,0.486486486486487,2.39227799227799
"{그대를 사랑합니다}","=>","{부산행}",0.0122659780503551,0.513513513513513,1.73675203587867
"{지구가 멈추는 날}","=>","{곡성(哭聲)}",0.0109748224661072,0.414634146341463,1.57418699186992
"{부러진 화살}","=>","{명량}",0.0103292446739832,0.4,1.96698412698413
"{자백}","=>","{아수라}",0.0116204002582311,0.4,2.39227799227799
"{우리 생애 최고의 순간}","=>","{부산행}",0.0109748224661072,0.435897435897436,1.47424700481469
"{남자사용설명서}","=>","{부산행}",0.0116204002582311,0.418604651162791,1.41576114552656
"{배틀쉽}","=>","{부산행}",0.0122659780503551,0.41304347826087,1.39695272451111
"{브리짓 존스의 베이비}","=>","{럭키}",0.012911555842479,0.48780487804878,2.23553182277385
"{브리짓 존스의 베이비}","=>","{부산행}",0.0116204002582311,0.439024390243902,1.48482266482053
"{화이 : 괴물을 삼킨 아이}","=>","{미녀와 야수}",0.0116204002582311,0.409090909090909,1.83675889328063
"{패션왕}","=>","{인터스텔라}",0.0109748224661072,0.414634146341463,2.05197537598379
"{표적}","=>","{인터스텔라}",0.013557133634603,0.5,2.47444089456869
"{국가대표2}","=>","{럭키}",0.0122659780503551,0.41304347826087,1.89291227167481
"{국가대표2}","=>","{부산행}",0.012911555842479,0.434782608695652,1.47047655211695
"{레전드 오브 타잔}","=>","{부산행}",0.0116204002582311,0.439024390243902,1.48482266482053
"{강철중: 공공의 적 1-1}","=>","{곡성(哭聲)}",0.012911555842479,0.454545454545455,1.72571301247772
"{드래곤 길들이기 2}","=>","{명량}",0.012911555842479,0.425531914893617,2.09253630530226
"{올드보이}","=>","{베테랑}",0.0116204002582311,0.409090909090909,2.36448439620081
"{특별수사: 사형수의 편지}","=>","{곡성(哭聲)}",0.0122659780503551,0.404255319148936,1.53478306216103
"{오싹한 연애}","=>","{변호인}",0.0109748224661072,0.414634146341463,1.79404551028751
"{그 시절 우리가 좋아했던 소녀}","=>","{킹스맨 : 시크릿 에이전트}",0.0109748224661072,0.404761904761905,2.38393988774217
"{반가운 살인자}","=>","{디어 존}",0.0148482892188509,0.534883720930233,7.74331667028907
"{파파로티}","=>","{명량}",0.0122659780503551,0.422222222222222,2.07626102292769
"{달콤한 인생}","=>","{곡성(哭聲)}",0.0122659780503551,0.404255319148936,1.53478306216103
"{라이트 아웃}","=>","{부산행}",0.013557133634603,0.403846153846154,1.36584648975479
