"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,7.66666666666667,8.18181818181818,7.68421052631579,7.68421052631579,7.16666666666667,6.11764705882353,8.23529411764706,9.05882352941176,7.875,8.5625,5.4375,8.06666666666667,6.85714285714286,9.21428571428571,7.85714285714286,7.35714285714286,8.30769230769231,6.30769230769231,7.76923076923077,8.53846153846154,7.53846153846154,6.15384615384615,8.5,8.33333333333333,8.33333333333333,7.83333333333333,8,8.18181818181818,9.63636363636364,8.63636363636364
4,"jjun****",73,7.72413793103448,8.48,7.4,8.95833333333333,7.69565217391304,7.47826086956522,7.69565217391304,8.72727272727273,8.7,7.7,8.89473684210526,8.5,7.44444444444444,9.16666666666667,6.5,8.41176470588235,7.17647058823529,9.125,8.5625,9.0625,6.625,6.6875,8.2,9.6,3.86666666666667,7.66666666666667,6.6,7.13333333333333,8.42857142857143,8.5
14,"salt****",49,9.66666666666667,8.05,8,8.57894736842105,9.5,7.9375,9.66666666666667,8.26666666666667,8.61538461538461,8.15384615384615,9.61538461538461,8.15384615384615,8.25,9.08333333333333,9,8.33333333333333,8.75,9.41666666666667,7.54545454545455,9.54545454545454,10,5,8.09090909090909,8.18181818181818,9.18181818181818,7.36363636363636,7.54545454545455,6.72727272727273,9,5.63636363636364
15,"dani****",52,8.44444444444444,9.07317073170732,7.40540540540541,8.67647058823529,8.90322580645161,7.2258064516129,8.5,7.96296296296296,6.96296296296296,9.88888888888889,6.85185185185185,6.26923076923077,8.80769230769231,7.6,7,7.33333333333333,8.21739130434783,8.43478260869565,9.08695652173913,8.26086956521739,7.95652173913043,6.09090909090909,5.52380952380952,7.71428571428571,9.76190476190476,8.80952380952381,8.75,4.6,9.68421052631579,8.16666666666667
22,"jhpa****",34,9.07317073170732,7.40540540540541,6.8,8.90322580645161,8.5,7.96296296296296,6.96296296296296,9.88888888888889,6.11111111111111,6.85185185185185,6.26923076923077,8.80769230769231,8.96153846153846,7.6,7.33333333333333,9.08695652173913,7.95652173913043,6.09090909090909,7.71428571428571,9.76190476190476,8.33333333333333,8.80952380952381,7.95,8.75,4.6,9.21052631578947,9.68421052631579,8.16666666666667,8.94444444444444,7.88888888888889
26,"wjsr****",46,9.87878787878788,7.52,8.95454545454546,8.52380952380952,7.21052631578947,8.8421052631579,7.55555555555556,9,9.11764705882353,7.70588235294118,7.8125,7,7.5,6.6,9.66666666666667,8.85714285714286,6.64285714285714,8.07692307692308,8.23076923076923,7.15384615384615,8.61538461538461,7.23076923076923,8.30769230769231,9.84615384615385,9.16666666666667,9.16666666666667,8.16666666666667,8.75,6.25,9.83333333333333
30,"wooj****",87,7.72413793103448,7.6,8.72222222222222,8.72222222222222,9.23529411764706,5.875,8.5625,6.66666666666667,6,7,6.42857142857143,8.78571428571429,8.57142857142857,7.21428571428571,8.71428571428571,7.07142857142857,8.30769230769231,6.61538461538461,9.61538461538461,9.46153846153846,8.92307692307692,7.76923076923077,9.25,9.83333333333333,5,9.41666666666667,5.66666666666667,8.81818181818182,8.81818181818182,9
33,"ssam****",54,8.81081081081081,7.25714285714286,8.5,7.54838709677419,7.79310344827586,8.53571428571429,8.25925925925926,8.11111111111111,8.73076923076923,6.96,6.45833333333333,9.95833333333333,6.73913043478261,8.30434782608696,6.1304347826087,6.77272727272727,8.09090909090909,7.81818181818182,6.31818181818182,7.95238095238095,6.57142857142857,6.05,8.5,7.78947368421053,9.31578947368421,8.52631578947368,9.8421052631579,9.22222222222222,5.88888888888889,6.38888888888889
41,"yjh8****",27,7,7.09677419354839,7.25806451612903,8.15384615384615,7.15384615384615,7.08,8.24,7.4,8.45833333333333,8.95833333333333,8.125,8.5,7.54545454545455,8.85,8.63157894736842,8.78947368421053,8.94444444444444,6.05555555555556,6.88888888888889,8.55555555555556,6.58823529411765,7.94117647058824,8.25,7.25,7.0625,4.5625,5.73333333333333,6.73333333333333,9.26666666666667,7.14285714285714
44,"leec****",54,7.2093023255814,8.81081081081081,7.25714285714286,7.54838709677419,7.37931034482759,7.79310344827586,8.53571428571429,8.25925925925926,7.03703703703704,7.59259259259259,8.73076923076923,6.96,6.45833333333333,6.73913043478261,8.30434782608696,6.1304347826087,8.5,7.81818181818182,6.31818181818182,7.36363636363636,7.95238095238095,6.57142857142857,7.42857142857143,6.05,7.78947368421053,8.52631578947368,9.8421052631579,9.22222222222222,5.88888888888889,8.77777777777778
