"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","V34"
55,"kais****","51","이탈리안 잡","식스틴 블럭","폭풍 속으로","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드","씬 시티","호스티지","프레셔스 카고 : 프로 범죄단","이지 머니","맨 온 파이어","마이애미 바이스","첩혈쌍웅","몬테 크리스토 백작",NA
58,"mien****","31","킹스글레이브: 파이널 판타지 XV","늑대아이","황금나침반","몬스터 하우스","괴물","크리스마스 캐롤","마당을 나온 암탉","라이온 킹","베오울프","아나스타샤","쿠크하트 : 시계심장을 가진 소년","시간을 달리는 소녀","릴로 & 스티치","헬보이 2: 골든 아미","스파이더위크가의 비밀","아프리카 마법여행","어네스트와 셀레스틴","알라딘","마리 이야기","가구야공주 이야기","추억은 방울방울","킹 오브 프리즘","타이탄","헌츠맨: 윈터스 워","머나먼 여정","토르: 천둥의 신","섀도우 헌터스 : 뼈의 도시","꼬마 돼지 베이브","에반게리온: 파","에반게리온: Q",NA
66,"zmff****","46","괴물","강철중: 공공의 적 1-1","몬테 크리스토 백작","이탈리안 잡","식스틴 블럭","폭풍 속으로","헬보이 2: 골든 아미","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드","씬 시티","호스티지","프레셔스 카고 : 프로 범죄단","이지 머니",NA
67,"psyc****","78","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드","씬 시티","호스티지","프레셔스 카고 : 프로 범죄단","이지 머니","맨 온 파이어","마이애미 바이스","첩혈쌍웅","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도",NA
72,"tndu****","62","박치기!","폼페이: 최후의 날","황후花","쉬리","말죽거리 잔혹사","더 레블 - 영웅의 피","나는 야한 여자가 좋다","불꽃처럼 나비처럼","겟 썸","천장지구","정무문","장고:분노의 추적자","몬테 크리스토 백작","핸콕","쏜다","수면의 과학","패밀리 맨","사랑과 영혼","괴물","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","바보들의 행진","인 디 에어","실버라이닝 플레이북",NA
78,"ekdn****","30","강철중: 공공의 적 1-1","투건스","노킹 온 헤븐스 도어","자토이치","불이신탐","쏜다","거북이 달린다","이탈리안 잡","식스틴 블럭","폭풍 속으로","괴물","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","몬테 크리스토 백작","핸콕","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드",NA
79,"sean****","58","셜록 홈즈","괴물","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","더 건맨: 테이큰 감독 뉴프로젝트","툼스톤","잭 리처: 네버 고 백","크리미널","엔드 오브 왓치","다크 나이트","런 올 나이트","네고시에이터","하이-라이즈","디스트릭트 9","브이 포 벤데타","크로니클","푸시","초능력자","미션 투 마스","혹성탈출: 반격의 서막","트랜센던스","본 슈프리머시","본 아이덴티티","이탈리안 잡","마이너리티 리포트","식스틴 블럭","폭풍 속으로",NA
82,"vero****","47","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","박치기!","강철중: 공공의 적 1-1","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적",NA
84,"hyej****","72","괴물","강철중: 공공의 적 1-1","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","쏜다","박치기!","헬보이 2: 골든 아미","투건스","노킹 온 헤븐스 도어","자토이치","불이신탐","거북이 달린다","핸콕","몬테 크리스토 백작","아마겟돈","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","하이-라이즈","디스트릭트 9","브이 포 벤데타","크로니클",NA
87,"momo****","64","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울","아나키스트","대한민국 1%","스톤","전설의 주먹",NA
