녀녀녀,"['멜로/로맨스', '코미디']",한국,95분 ,2014.04.10,청소년 관람불가,한승림,"['신주아', '구지성', '윤채이']",3.00,2.32,
두 남자,"['범죄', '액션']",한국,91분 ,2016.11.30,청소년 관람불가,이성태,"['마동석', '최민호']",7.89,5.44,6.11
에이리언 VS. 프레데터,"['공포', '스릴러', '액션', '모험', 'SF', '전쟁']",미국,100분 ,2004.09.03,15세 관람가,폴 앤더슨,"['산나 라단', '라울 보바', '랜스 헨릭슨']",,6.98,
세븐,"['범죄', '스릴러']",미국,127분 ,2016.10.26,청소년 관람불가,데이빗 핀처,"['브래드 피트', '모건 프리먼']",9.80,8.75,8.63
더 스토리: 세상에 숨겨진 사랑,"['드라마', '미스터리', '멜로/로맨스']",미국,102분 ,2012.12.06,15세 관람가,브라이언 크러그만,"['브래들리 쿠퍼', '제레미 아이언스', '조 샐다나']",,5.00,7.94
푸른소금,['드라마'],한국,120분 ,2011.08.31,15세 관람가,이현승,"['송강호', '신세경']",,5.17,7.09
동창생,"['액션', '드라마']",한국,113분 ,2013.11.06,15세 관람가,박홍수,"['T.O.P', '한예리', '윤제문']",,5.45,7.32
가디언즈 오브 갤럭시,"['액션', '모험', 'SF']",미국,122분 ,2014.07.31,12세 관람가,제임스 건,"['크리스 프랫', '조 샐다나', '데이브 바티스타']",8.64,7.96,8.56
플레이,['드라마'],한국,99분 ,2011.06.23,전체 관람가,남다정,"['정준일', '임헌일', '이현재']",,4.13,8.22
깡철이,['가족'],한국,108분 ,2013.10.02,15세 관람가,안권태,"['유아인', '김해숙']",,5.55,6.95
유니버셜 솔저,['액션'],미국,99분 ,1992.08.01,청소년 관람불가,롤랜드 에머리히,"['장 끌로드 반담', '돌프 룬드그렌']",,7.79,
베이컨시,"['공포', '스릴러']",미국,84분 ,2007.09.27,청소년 관람불가,님로드 앤탈,"['루크 윌슨', '케이트 베킨세일']",,7.23,
디스트릭트 9,"['SF', '액션', '스릴러', '드라마']",미국,112분 ,2009.10.15,청소년 관람불가,닐 블롬캠프,"['샬토 코플리', '바네사 헤이우드', '제이슨 코프']",,7.94,8.95
나의 독재자,['드라마'],한국,127분 ,2014.10.30,15세 관람가,이해준,"['설경구', '박해일']",7.38,6.63,7.42
산다,['드라마'],한국,166분 ,2015.05.21,청소년 관람불가,박정범,"['박정범', '이승연', '박명훈']",8.20,7.33,7.48
헤라클레스 : 레전드 비긴즈,"['액션', '모험', '판타지']",미국,99분 ,2014.04.10,15세 관람가,레니 할린,"['켈란 루츠', '가이아 와이즈', '스콧 앳킨스']",6.10,4.80,6.32
기술자들,"['범죄', '액션']",한국,116분 ,2014.12.24,15세 관람가,김홍선,"['김우빈', '김영철', '고창석']",7.91,4.75,7.14
카라멜,"['멜로/로맨스', '드라마']",프랑스,96분 ,2008.09.04,12세 관람가,나딘 라바키,"['나딘 라바키', '야스민 알마스리']",,8.13,
네버 렛 미 고,"['드라마', '멜로/로맨스']",영국,103분 ,2011.04.07,15세 관람가,마크 로마넥,"['캐리 멀리건', '앤드류 가필드', '키이라 나이틀리']",,6.36,7.49
가디언의 전설,"['애니메이션', '모험', '판타지']",미국,96분 ,2010.10.28,전체 관람가,잭 스나이더,"['휴고 위빙', '짐 스터게스', '라이언 콴튼']",,6.50,8.09
새미의 어드벤쳐,"['애니메이션', '모험']",미국,85분 ,2010.12.15,전체 관람가,벤 스타센,"['멜라니 그리피스', '이사벨 퍼만', '유리 로웬탈']",,6.00,8.98
다크 나이트 라이즈,"['액션', '범죄', '스릴러']",미국,164분 ,2012.07.19,15세 관람가,크리스토퍼 놀란,"['크리스찬 베일', '마이클 케인', '게리 올드만']",,7.69,9.01
특전 유보트,"['드라마', '전쟁']",독일(구 서독),210분 ,1982.05.15,15세 관람가,볼프강 페터젠,"['주겐 프로크노', '클라우스 웨네먼', '허버트 그로네메이어']",,9.23,
바람의 검심 : 교토 대화재편,"['액션', '모험']",일본,139분 ,2015.02.26,15세 관람가,오오토모 케이시,"['사토 타케루', '타케이 에미', '이세야 유스케']",9.44,5.50,8.18
디어리스트,['드라마'],홍콩,135분 ,2016.09.08,12세 관람가,진가신,"['자오웨이', '황보', '통따웨이']",,9.08,
"사랑한다, 사랑하지 않는다",['멜로/로맨스'],한국,105분 ,2011.03.03,15세 관람가,이윤기,"['임수정', '현빈']",,5.63,5.65
뷰티풀 라이,['드라마'],미국,110분 ,2015.03.26,12세 관람가,필리프 팔라도,"['리즈 위더스푼', '아놀드 오셍', '게르 두아니']",9.56,5.50,9.03
제3의 사나이,"['드라마', '스릴러']",영국,93분 ,1954.03.09,15세 관람가,캐럴 리드,"['조셉 거튼', '알리다 발리', '오손 웰즈']",,9.00,
티끌모아 로맨스,"['멜로/로맨스', '코미디']",한국,114분 ,2011.11.10,15세 관람가,김정환,"['한예슬', '송중기']",,6.14,7.49
댄싱퀸,"['코미디', '드라마']",한국,124분 ,2012.01.18,12세 관람가,이석훈,"['황정민', '엄정화']",,6.00,8.88
여친남친,['멜로/로맨스'],대만,105분 ,2013.02.07,청소년 관람불가,양야체,"['계륜미', '장효전', '봉소악']",,7.06,7.54
강철중: 공공의 적 1-1,"['범죄', '스릴러', '코미디', '드라마', '액션']",한국,127분 ,2008.06.19,15세 관람가,강우석,"['설경구', '정재영']",,5.25,8.53
아리아,['드라마'],이탈리아,103분 ,2015.04.23,15세 관람가,아시아 아르젠토,"['샤를로뜨 갱스부르', '지울리아 살레르노', '가브리엘 가코']",8.04,5.80,7.89
뱀파이어,"['드라마', '공포', '멜로/로맨스']",미국,119분 ,2015.02.27,R,이와이 슌지,"['아오이 유우', '레이첼 리 쿡', '케빈 지거스']",,6.83,
원스 어폰 어 타임 인 아메리카,"['액션', '느와르']",미국,251분 ,2015.04.09,청소년 관람불가,세르지오 레오네,['로버트 드 니로'],9.36,9.06,
리딕 - 헬리온 최후의 빛,"['모험', 'SF', '액션', '스릴러']",미국,112분 ,2004.08.13,12세 관람가,데이빗 토히,"['빈 디젤', '탠디 뉴튼', '칼 어번']",,6.84,
식스팩,['스릴러'],프랑스,110분 ,2000.11.11,청소년 관람불가,알랑 베베리앙,"['리샤드 앙코니나', '프레더릭 디팡달', '키아라 마스트로야니']",,6.88,
아이언맨 3,"['SF', '모험', '액션']",미국,129분 ,2013.04.25,12세 관람가,셰인 블랙,"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리']",,7.53,8.85
