grade,aud_mean,cri_mean,net_mean,count
12세 관람가,8.488,6.651,7.91,878
15세 관람가,8.172,6.432,7.5,1402
G,10,9.22,,1
NR,8.418,8.436,9.12,27
PG,,8.226,7.65,21
PG-13,,8.228,,8
R,9.67,7.652,,8
전체 관람가,8.523,7.085,8.321,502
청소년 관람불가,7.861,6.547,7.254,1054
