director,aud_mean,cri_mean,net_mean,count
김정우,,3.125,6.9,2
김정환,,6.82,7.49,2
김정훈,8.62,5.9,8.48,1
김제영,,4.56,6.88,1
김종관,8.46,6.74,7.31,2
김종진,,4.33,5.92,1
김종현,8.79,7.27,8.7,2
김주호,,5.75,7.59,1
김주환,,6,9.1,1
김준성,8.13,3,5.94,1
김지연,9.17,8.46,,1
김지운,8.565,7.52,7.298,8
김지훈,,5.71,6.267,4
김진도,8.48,6,8.34,1
김진만,,5,8.7,1
김진무,8.55,6,8.1,1
김진성,,4.25,7.88,1
김진영,7.77,4.65,7.026,5
김진혁,9.48,6,8.57,1
김진황,8.05,6.44,7.43,1
김창래,,4.33,6.07,1
김철한,,3.25,5.41,1
김청기,,7.185,6.77,2
김태경,,5.21,5.323,3
김태곤,8.42,5.97,8.11,1
김태규,,4.6,,1
김태균,7.03,6.207,8.182,6
김태수,,5.52,,1
김태식,,6.2,7.685,2
김태용,8.55,7.378,7.91,5
김태윤,8.98,5.82,8.433,3
김학순,9.14,4.94,8.99,1
김한민,8.87,6.008,7.657,4
김해곤,,6.57,4.19,2
김현빈,,7.06,,1
김현석,7.97,6.45,7.23,4
김현성,,8.05,,1
김현수,,7.22,,1
김현주,7.77,5,6.59,1
김형주,,7,7.74,1
김형준,,4.355,7.245,2
김호준,10,4.938,3.68,4
김홍선,7.91,4.875,7.07,2
김회근,9,4.5,5.89,1
김휘,6.86,5.545,7.065,2
김희정,8.46,6.42,7.16,2
끌로드 를르슈,8.26,8.17,,1
끌로드 밀러,,8.25,,1
나가미네 타츠야,,6,9.03,1
나가사와 마사히코,,3.67,6.1,1
나가이 아키라,8.71,5.9,8.55,1
나가이 타츠유키,8.96,6.83,8.705,2
나단 몰랜도,,6.6,,1
나딘 라바키,,8.13,,1
나루시마 이즈루,8,6.125,6.245,2
나문,,8.35,,1
나베시마 오사무,8.99,8.855,,2
나영창,,2.49,,1
나오미 포너,6.95,4,7.16,1
나유,,9.13,,1
나이젤 콜,,8.41,,1
나이토 에이스케,,5.36,,1
나지량,,7.98,,1
나초 세르다,,3.5,4.71,1
나카노 료타,9.13,6.67,8.91,1
나카무라 쇼코,9.5,7,9.2,1
나카무라 요시히로,6.875,5.777,7.817,3
나카시마 테츠야,7.4,7.387,8.12,3
나카에 이사무,8.92,7,8.36,1
나카자와 쇼지로,8.5,8.93,,1
나카타 히데오,,3.955,7.08,2
나현,8.34,6,7.84,1
나홍진,8.22,7.663,8.15,3
난니 모레티,7.89,7.41,7.28,1
남기웅,,3,2.24,1
남다정,,4.13,8.22,1
남대중,8.19,5,7.87,1
남택수,,5,8.92,1
낸시 마이어스,9.04,7.435,8.96,2
네드 벤슨,7.61,6.725,7.585,2
네이슨 그레노,,7.13,9.33,1
노덕,7.99,6.59,7.22,2
