director,aud_mean,cri_mean,net_mean,count
바박 나자피,8.48,4,7.38,1
바비 패럴리,7.2,6.375,6.71,2
바실리 세리코프,,6.92,,1
바이론 하워드,9.33,7.165,9.2,2
바즈 루어만,8.835,6.55,8.07,4
바트 프룬디치,,5.81,8.11,1
바흐만 고바디,,8.49,,1
박건용,,5.845,8.37,2
박경근,7.5,8,7.36,1
박광수,,6.94,6.9,2
박광우,,3,8.08,1
박광춘,,6,9,1
박광현,8.57,6.5,8.48,2
박규택,5.93,3.65,5.74,1
박기형,,7,7.13,1
박대민,8.27,5.43,7.535,2
박대영,,4.67,8.58,1
박동훈,,7,8.67,1
박명랑,,6.67,6.61,1
박문칠,9.36,7.33,8.47,1
박민국,8.18,8.34,,1
박범수,8.41,5.67,8.26,1
박병환,,2,8.2,1
박사유,9.17,6.33,9.18,1
박상준,6.25,4.335,5.575,2
박선욱,,6.255,,2
박성균,,4,4.48,1
박성수,,5.06,,2
박성훈,,5,3.14,1
박영균,8.81,7.65,8.55,2
박영훈,,8.01,,1
박용집,,3.71,6.57,2
박은경,7,4.81,4.9,1
박은형,,5.25,8.515,2
박인제,,6.18,7.19,1
박재식,4.44,2.67,3.23,1
박재호,,6.8,,1
박정범,8.2,7.197,8.033,3
박정오,8.59,8.59,,1
박정우,8.79,6.062,7.773,4
박제욱,5,8.12,,1
박제현,5.66,6.175,4.04,2
박종원,,8.75,,2
박주영,,6.015,,2
박중구,,6,6.29,1
박중훈,,6.42,7.39,1
박진표,7.79,5.553,7.555,4
박찬경,8.36,7.75,8.04,1
박찬옥,7,7.35,7.2,1
박찬욱,8.74,7.519,6.952,7
박창진,,6.79,,1
박철관,,6.61,5.12,2
박철수,,6.465,,2
박철희,,5,7.28,1
박헌수,,5.715,6.84,2
박혁지,9.025,7.9,8.73,2
박현진,8.62,6.735,8.21,2
박혜미,10,6,7.04,1
박홍민,7.83,6.63,5.4,1
박홍수,,5.45,7.32,1
박훈정,8.21,6.703,7.37,3
박흥식,7.223,6.254,7.268,7
박희곤,,6.225,8.47,2
반종 피산다나쿤,7,5.97,7.115,3
발타자르 코루마쿠르,7.81,5.89,7.303,3
방규식,,4.89,,1
방성웅,,3.97,,1
방은진,,6.07,8.207,3
배리 소넨펠드,8.78,3.5,8.22,1
배리 젠킨스,8.4,7.83,8.11,1
배성상,8.93,8.24,,1
배창호,,9.103,,3
배형준,,5.91,6.32,2
백승기,7.935,5.72,6.21,2
백승우,,6.75,4.34,1
백승화,8.55,6.07,7.75,1
백운학,8.22,5.81,7.63,1
백인규,8.38,6.92,,1
백종열,8.25,5.47,7.7,1
백창주,,8.92,,1
뱅크시,,6.89,8.89,1
버 스티어스,7.13,3.835,6.815,2
버나드 로즈,6.055,4.5,5.625,2
베네덱 플리고프,,5.5,7.14,1
베넷 밀러,8.4,7.71,8.053,3
베노이트 필립폰,,8.87,,1
베다 도캄포 페이주,8.72,5.6,8.74,1
베르나르도 베르톨루치,8.668,7.43,8.127,5
베리 레빈슨,,7.942,,4
베리 소넨필드,,6.435,8.15,2
베일리 월쉬,,7.8,,1
벤 르윈,,8,8.41,1
벤 스타센,8.21,6.5,8.615,2
벤 스틸러,7.69,6.11,7.3,2
벤 애플렉,,6.655,7.775,2
벤 영거,9.21,5.4,8.82,1
벤 웨틀리,6.42,6.56,6.15,1
벤 제틀린,,7.38,7.43,1
벤 차오,7.54,7.38,,1
벤 팔머,8.74,8.6,,1
벤비 네코,7.71,8.76,,1
벤슨 리,,4,7.69,1
벨라 타르,,8.5,7.68,1
벵상 파타,9.02,7.07,9.05,1
변성현,,6.32,8.21,1
변승욱,,6.335,6.405,2
변영주,9,7,7.89,1
변진호,,5.71,9.1,1
변혁,,5.79,,1
보아즈 야킨,,9.24,,1
볼프강 벡커,,8.99,,1
볼프강 페터젠,,8.057,7.26,6
볼프강 피터젠,,7.68,,1
봅 라펠슨,,8.8,,1
봉만대,7.8,5.875,7.925,2
봉준호,9.43,8.006,8.07,5
부지영,8.61,6.665,8.645,2
브누와 쟉꼬,6.97,6.25,6.62,1
브라이언 굿맨,,7.5,,1
브라이언 드 팔마,8,7.64,5.32,5
브라이언 레반트,,7.217,6.98,4
브라이언 싱어,8.5,7.287,8.077,8
브라이언 크러그만,,5,7.94,1
브라이언 헬겔랜드,7.55,7.325,7.03,2
브래드 버드,7.56,7.614,8.393,5
브래드 앤더슨,,6.92,6,3
브래드 퍼맨,7.5,6.28,8.215,3
브래드 페이튼,8.3,4.9,7.63,1
브래들리 파커,,6,,1
브렉 에이즈너,7.28,5.395,6.98,2
브렛 래트너,7.22,6.417,7.447,6
브렛 레너드,,5.38,,1
브렛 바벨,,7,,1
브루스 맥도널드,,5,6.63,1
브루스 베레스포드,,7.83,,1
브루스 헌트,,5,6.49,1
블라드 바르베,,5.27,,1
블레이크 에드워즈,9.5,8.39,,1
비번 키드론,,8.21,,1
비행,10,5.67,8.6,1
빅 암스트롱,,4.94,,1
빈센조 나탈리,,7.71,5.91,3
빈센트 갈로,,8.74,,1
빈센트 워드,,8.35,,1
빌 어거스트,8.34,5.89,8.28,1
빌 오거스트,,8.46,,1
빌 우드러프,,8.41,,1
빌 콘돈,8.665,6.036,8.132,5
빌리 레이,7.49,6.13,7.67,1
빔 벤더스,8.905,7.535,8.8,2
사나다 아츠시,8.25,6.08,8.08,1
사라 가브론,9.33,6,8.93,1
사라 스미스,,7.34,8.75,1
사라 폴리,8.455,7.545,8.26,2
사만다 푸터먼,9.16,6.78,9.03,1
사울 딥,8.87,5.5,8.8,1
사이러스 노라스테,,6.19,,1
사이먼 웨스트,,6.245,7.92,4
사이먼 웰스,,7.48,,1
사이먼 커티스,8.9,7,8.89,1
사이몬 필립스,,5,6.62,1
사카구치 히로노부,,7.07,,1
사카모토 준지,,6.24,,1
사카모토 코이치,8.51,8.48,,1
사카이 아츠코,8.25,5.67,6.88,1
사쿠라이 히로아키,,8.44,,1
사토 신스케,7.665,6.1,6.44,3
사토 유이치,,5.33,8.55,1
사토 토야,,3.56,,1
산제이 릴라 반살리,9.36,6.54,8.945,2
상광희,6.76,7.24,,1
샐리 포터,7.95,6.63,7.29,1
샘 가바르스키,8.21,6.67,8.01,1
샘 레이미,,7.698,7.163,10
샘 멘데스,7.53,7.766,7.713,5
샘 와이즈만,,8.34,,1
샘 테일러 존슨,5.49,3.07,6,1
샘 페킨파,,8.53,,1
샤랏 카타리야,8,6,9.06,1
샤론 맥과이어,9.1,7.185,8.93,2
샤밈 샤리프,8,8.71,,1
샤오 야 췐,8,6.88,8.1,1
서극,,8.141,7.11,7
서은영,8.44,6.25,8.36,1
서호봉,,6.39,,3
석민우,7.15,5.54,5.94,1
설효로,8.14,4.94,8.155,2
성룡,,6.19,7.81,2
성백엽,,9.3,,1
성시흡,8.67,5.5,8.13,1
세드릭 클래피쉬,,7.705,7.59,2
세딕 니콜라스 트로얀,7.54,4.95,7.64,1
세르게이 보드로프,6.64,5,4.92,1
세르지오 레오네,9.36,8.57,,2
세르지오 루비니,,8.67,,1
세스 고든,,5.49,7.72,1
세스 그로스먼,,4,7.3,1
세스 맥팔레인,7.06,5.917,7.383,3
션 베이커,9,7.38,7.69,1
셰인 블랙,7.2,7.35,7.745,2
소노 시온,8.28,6.842,6.857,5
소니 몰히,,5.25,,1
소준문,6.7,4.67,6.94,1
소피 바르트,7.6,7,7.22,1
소피아 코폴라,,5.315,5.755,2
손석,,8.87,,2
손석우,7.99,7.86,,1
손승웅,8.41,5.4,7.76,1
손영성,,6.43,8,1
손영호,,4.04,,1
손용호,7.05,4.33,6.75,1
손재곤,,6.68,8.19,2
손호,7.03,3.75,3.24,1
송능한,,7.39,,1
송민규,7.55,4,4.52,1
송유펑,7.63,6,7.83,1
송윤희,,3.99,,1
송일곤,,5.25,9.11,1
송재용,8.5,8.23,,1
송창수,,4.67,7.32,1
송해성,,6.642,7.46,5
숀 레비,8.17,5.95,8.38,4
숀 앤더스,,6,8.08,1
숀 엘리스,,8.64,,1
숀 케인,,7,,1
수 차오핑,,6.56,7.38,1
수오 마사유키,,7.75,9.12,1
수잔 비에르,8.64,5.675,6.825,2
순리준,,5.5,5.94,1
쉐리 호만,,5,7.46,1
쉐인 반 다이크,,2.23,,1
쉐인 액커,,6.13,7.73,1
슈테판 루조비츠키,,6.59,,1
스기이 기사부로,5,7,8.93,1
스캇 워프,8.15,5.75,7.88,1
스콧 데릭슨,8.055,5.66,6.848,4
스콧 도우,,5.75,,1
스콧 만,8.5,4.5,8.07,1
스콧 맥게히,8.2,6.67,8.62,1
스콧 스피어,,5.5,8.78,1
스콧 찰스 스튜어트,,2.5,5.99,1
스콧 칼벳,,8.85,,1
스콧 쿠퍼,,7.25,8.12,1
스콧 프랭크,7.11,5,7.55,1
스콧 휠러,,7.67,,1
스콧 힉스,,7.28,7.99,3
스탠리 큐브릭,9,7.81,,1
스테파노 밀라,,7.22,,1
스테판 벨라,7.71,7,8.25,1
스토브 하르유,,8.04,,1
스튜어트 베티,6.33,6.22,,1
스티브 마이너,,6.08,,1
스티브 마티노,7.88,6,7.89,1
스티브 맥퀸,8.5,7.27,8.35,2
스티브 벡,,6.985,,2
스티브 벤디랙,,5.6,7.63,1
스티브 오데커크,,8.29,,1
스티븐 C. 밀러,,6,,1
스티븐 R. 먼로,,6.9,,1
스티븐 개건,9,5.67,8.91,1
스티븐 나이트,,7.73,,1
스티븐 노링턴,,7.57,,2
스티븐 달드리,9.223,7.655,8.923,4
스티븐 도이치,,8.1,,1
스티븐 브릴,,6.75,6.85,1
스티븐 세인버그,,8.18,,1
스티븐 소더버그,,7.593,7.207,6
스티븐 소머즈,6.9,6.576,7.66,5
스티븐 스필버그,9.325,8.465,7.929,21
스티븐 쿼일,8.26,4.67,8.23,1
스티븐 크보스키,,6.72,9.07,1
스티븐 프리어스,8.63,7.667,8.14,3
스티븐 프리어즈,8.48,6.07,8.185,2
스티븐 헤렉,8.83,7.56,8.42,2
스티븐 홉킨스,9.17,6.64,7.74,4
스티븐 힐렌버그,,6,8.75,1
스티펜 펭메이어,,4,5.83,1
스틴 코닝스,,6,7.53,1
스틸즈 화이트,6.7,2,5.79,1
스파이크 리,6.25,6.785,5.71,2
스파이크 존즈,8.68,8.067,8.51,3
시기노 아키라,,8.84,,1
시나가와 히로시,,7.03,,1
시노하라 테츠오,,5,8.02,1
시노하라 토시야,8.95,,,1
시드니 J. 퓨리,,8.16,,1
시드니 루멧,8,8,7.91,1
시드니 폴락,,7.43,,2
시라이시 카즈야,,6.97,,1
시라이시 코지,8.44,4.167,5.467,3
시모사와 신타로,6.37,3.67,6.34,1
시몬 베호벤,7.12,5.35,,1
시미즈 다카시,,5.73,5.27,4
시오타 아키히코,,6.35,,1
시오타니 나오요시,9.13,7.8,,2
시즈노 코분,8.74,6.854,8.805,5
신동엽,7.03,4.018,6.082,5
신동일,,7.05,6.8,1
신보 아키유키,8.45,4,8,1
신상옥,,8.24,,1
신수원,7.88,6.585,7.615,2
신연식,7.68,5.8,6.72,2
신재영,6.05,4,3.81,1
신정균,,5.51,,2
신정원,,6.42,6.685,3
신조 타케히코,,6.96,8.18,2
신진우,,4.55,,1
신카이 마코토,8.666,6.394,8.082,5
신태라,,5.207,7.41,3
신한솔,7.52,4.4,7.33,3
신혜성,,3.23,,1
실뱅 쇼메,8.72,7.165,8.76,2
실베스터 스탤론,,6.07,7.805,2
심광진,8.83,5.75,8.72,1
심상국,,6.05,7.81,1
심성보,7.25,6.29,6.84,1
심형래,,4.88,6.915,2
써니 럭,8.5,5.085,5.505,2
썬더 레빈,,5.25,,1
쏘어 프류덴탈,,5,7.83,1
아그네츠카 보토위츠 보슬루,,5.5,6.53,1
아그네츠카 홀란드,,8.707,,3
아넌드 터커,,4.5,8.31,1
아네스 자우이,,7.42,,1
아담 맥케이,8.09,7.29,8.43,1
아담 비머,,4,,1
아담 쉥크만,,6.89,8.2,2
아담 스핑크스,,3.43,,1
아담 추 ,6.47,5.32,,1
아더 힐러,,8.48,,1
아라마키 신지,7.06,6,7.58,1
아라키 테츠로 ,,7.22,,1
아람 라파포르트,,7.11,,1
아르노 데 팔리에르,8.15,7.83,7.78,1
아리 노박,,4.45,,1
아리 포신,7.97,5.4,8.68,1
아리스토미니스 처바스,,6,7.66,1
아리엘 브로멘,8.2,4,8,1
아리엘 슐만,,3,5.06,1
아미 카난 만,6.57,6.5,7.12,1
아미르 나데리,,6.44,8.17,1
아미르 칸,,6.5,9.3,1
아벨 페리,,5.6,5.77,1
아사토 마리,5.16,3.63,5.14,1
아소 마나부,,3.33,3.85,1
아시아 아르젠토,8.04,5.8,7.89,1
아시프 카파디아,9.12,6.195,9.145,2
아이삭 플로렌틴,,6.42,,1
아이작 에즈반,,7.75,,1
아쿠네 토모아키,8.8,6.33,8.4,1
아키야마 타카히코,,8.73,,1
아틱 라히미,,7.5,8.27,1
안국진,8.13,7.06,8.39,1
안권태,,6.955,6.95,2
안나 포에스터,,4.75,6.12,1
안노 히데아키,8.625,7.333,7.037,3
안느 퐁텐,8.67,8.91,,1
안도 마사히로,,7.17,9.08,1
안동희,,7.21,,1
안드레 외브레달,,6.26,,1
안드레스 무시에티,,6,7.82,1
안드레스 바이즈,,8.01,,1
안드레이 바르코비악,,3,7.08,1
안드레이 세큘라,,5.64,,1
안드레이 즈비아긴체프,8.19,8.44,7.95,1
안드레이 콘찰로프스키,,4,6.63,1
안드레이 타르코프스키,,7.45,,1
안드리아 아놀드,,7.63,6.22,1
안병기,,4.67,4.89,1
안상훈,7.875,5.093,6.705,3
안소니 C. 페란트,,3.69,,1
안소니 디브라시,,4.92,5.7,1
안소니 루세로,,7.77,,1
안소니 루소,8.83,7.5,8.68,1
안소니 밍겔라,9.19,8.585,,2
안소니 팽크하우저,,2.25,,1
안소니 힉콕스,,5.54,,1
안슬기,8,6.75,7.85,1
안용훈,8.11,4.13,7.66,1
안재훈,8.86,6.6,8.78,1
안젤리나 졸리,8.06,5.33,8.25,1
안진우,,6.38,,1
안철호,4.5,3.5,3.94,1
안톤 메게르디체브,,6.51,,2
안톤 코르빈,8.43,7.82,7.65,1
안톤 후쿠아,8.207,6.487,7.698,9
안티 조키넨,,3,6.93,1
안판석,,5.75,8.41,1
알란 모일,,7.08,,1
알랑 베베리앙,,6.88,,1
알래스테어 포더길,,8.5,8.63,1
알레한드로 곤잘레스 이냐리투,7.813,7.44,7.76,5
알레한드로 몬테베르드,9,6.25,8.9,1
알레한드로 아그레스티,,5,7.94,1
알레한드로 아메나바르,6.74,4.88,6.21,1
알렉 커시시언,,6,7.63,1
알렉산더 바흐,7.78,5.5,7.9,1
알렉산더 아야,,7.17,,1
알렉산더 윗,,8.02,,1
알렉산더 코페르,10,5.81,9.04,1
알렉산더 페인,,8.275,8.07,2
알렉산드르 보이틴스키,,7.17,,1
알렉산드르 부라프스키,,7.04,,1
알렉산드르 아야,6.33,7.08,7.31,2
알렉산드르 야킴추크,,2.94,9.28,1
알렉상드르 아자,,6.63,6.68,1
알렉상드르 헤보얀,8.3,7,8.38,1
알렉세이 트시칠린,7.725,8.115,,2
알렉스 가랜드,7.43,7.05,7.56,1
알렉스 드 라 이글레시아,,8.05,,1
알렉스 슈미트,,5.5,7.15,1
알렉스 켄드릭,,6.905,8.6,2
알렉스 프로야스,8.02,6.213,7.14,3
알렌 울프,,6.97,,1
알버트 휴즈,,4.79,7.11,1
알베르토 라투아다,10,10,,1
알베르토 로드리게즈,8.05,7.51,,2
알베르토 마리니,8,5.67,5.81,1
알폰소 아라우,,8,,1
알폰소 쿠아론,9.16,8.365,8.375,4
알프레드 히치콕,8,8.785,,2
압델라티프 케시시,8.95,8.2,8.84,1
압바스 키아로스타미,8.5,8.5,7.82,1
앙투와네트 베우머,,6,6.92,1
애덤 브룩스,,6,8.31,1
애덤 쉥크만,,7.3,7.51,2
애덤 윈가드,7.63,6,6.875,2
애드리안 라인,,8.135,,2
애드리언 그런버그,,7.69,,1
애론 노리스,,9.64,,1
애쉬 브래넌,8.54,7,8.64,1
앤 폰테인,,6.75,6.99,1
앤 플레쳐,,6.125,8.75,2
앤드루 데이비스,,9.03,,1
앤드류 니콜,,6.32,7.8,4
앤드류 더글러스,,7.12,,1
앤드류 버그먼,,7.96,,1
앤드류 스탠튼,8.62,7.635,8.443,4
앤드류 아담슨,,7.685,7.2,2
앤드류 애덤슨,,7.26,8.64,2
앤드류 카이트링거,,7.95,,1
앤드류 플레밍,,7.39,,1
앤드류 헤이,8.16,7.57,8.07,1
앤디 쳉,,6.38,,1
앤디 테넌트,,8.32,,1
앤디 픽맨,,4.5,8.89,1
앤디 해밀턴,7.83,5.6,7.99,1
앨런 테일러,8.12,6.135,8.06,2
앨런 파커,,8.315,,2
앨런 포울,,7.2,,1
앨런 화이트,,6.19,,1
앨리스터 그리어슨,,5.56,7.3,1
앨버트 파이언,,5.33,,1
야구치 시노부,9.25,7.403,9.005,3
야나기자와 테츠야,8.53,8.07,,1
야노 유이치로,,8.55,,1
야마다 아카네,,5,10,1
야마다 요지,8.31,6.64,8.455,2
야마모토 야스이치로,8.82,7.43,8.3,4
야마모토 키요시,,3,2.67,1
야마모토 토루,7.54,6.63,8.21,1
야마무로 타다요시,,5,6.18,1
야마시타 노부히로,7.88,6.07,7.677,3
야마시타 히로유키,9.59,9.25,,1
야마자키 타카시,8.137,6.557,7.983,3
야세민 삼데렐리,,9.44,,1
야자키 히토시,,7.91,,1
야쿠와 신노스케,8.94,9.04,,1
얀 디맨지,9,8.07,,1
얀 사뮤엘,,7.98,,1
얀 코마사,,6,8.07,1
양경모,8.83,5.67,8.53,1
양립국,,9.55,,1
양백견,,3.51,,1
양병간,8.91,8.78,,1
양야체,,7.06,7.54,1
양영철,,7.33,6.74,2
양우석,9.28,7.43,8.97,1
양윤호,,5.173,7.92,4
양익준,,7.68,9.21,1
양지은,8.5,5,7.85,1
어거스틴 디아즈 야네스,,8,,1
어빈 케쉬너,,9.13,,1
엄태화,8.24,7.07,7.93,2
에단 코엔,7.53,8.047,7.66,4
에단 호크,9.05,7,9.13,1
에두와르도 슐츠,7.81,8.05,,1
에드 게스-도넬리,,2.5,6.88,1
에드가 라이트,,7.25,7.7,1
에드워드 앤더슨,,4,,1
에드워드 즈윅,8.055,6.074,7.867,5
에란 크리비,7.85,4,8.1,1
에릭 다넬,8.67,7.085,8.855,2
에릭 라티고,8.73,6.81,8.8,1
에릭 반 루이,7.2,5,7.06,1
에릭 브레빅,,3,7.83,1
에릭 브레스,,9.21,,1
에릭 섬머,8.97,8.73,,1
에릭 우스터버그,,6.67,,1
에릭 포페,8.85,5.67,8.5,1
에릭 피티,,7.3,,1
에릭 하네조,7,5.71,6.36,1
에릭슨 코어,7.99,4,7.53,1
에밀 아돌리노,,7.605,8.92,2
에밀 에드윈 스미스,,2.62,,1
에바 두버네이,8.47,6.86,8.44,1
에스킬 보그트,8.5,6.67,7.65,1
에스펜 잔드베르크,,4.5,6.93,1
에이미 버그,8.25,5.69,7.37,1
엑셀 브라운,,5.665,,2
엔리코 클레리코 나시노,,5.5,,1
엔리크 가토,8.19,6,8.17,1
엘로리 엘카엠,,7.02,,1
엘리어트 레스터,,4.67,6.95,1
엘리자베스 뱅크스,8.62,5.75,7.45,1
엘모 누가넨,,8.3,,1
엘버트 반 스트리엔,,5.33,6.65,1
여균동,,6.02,5.39,2
여인영,8.78,6.195,8.68,2
연상호,7.665,7.58,7.177,5
연정모,3,3,3.71,1
엽위신,,5.665,8.227,4
예심 세즈긴,,4.58,,1
오기가미 나오코,8.75,6.917,8.335,3
오기현,,6,7.83,1
오기환,6.81,6.127,6.723,4
오덕환,,3.15,,1
오렌 펠리,,5.44,7.46,1
오리올 파울로,8.07,4.25,7.78,1
오멸,,8.86,6.13,1
오미보,9.19,7.875,8.78,2
오상훈,,7.25,,1
오석근,,5.4,7.87,1
오성윤,,7.15,8.89,1
오승욱,7.31,7.21,7.72,1
오시마 나기사,,6.82,,1
오시이 마모루,6,7.237,4.37,3
오영두,,6.2,4.53,1
오오네 히토시,8.64,7.17,8.44,2
오오타니 켄타로,,7.97,,1
오오타니 타로,,4.75,6.55,1
오오토모 케이시,9.345,6.967,8.16,4
오우삼,9.597,7.346,8.018,10
오이시 타츠야,8.73,8.47,,1
오인용,10,4.33,8.47,1
오인천,6.545,3.483,4.8,3
오자운,9,5.5,7.53,1
오중일,,2.16,,1
오중천,,7.33,,1
오즈 야스지로,9,9.12,,1
오치아이 마사유키,5.18,4.3,6.35,2
오키우라 히로유키,,6.56,8.11,1
오키타 슈이치,8.705,8.755,,2
오토모 가츠히로,,8.14,,1
올 파커,,6.81,8.78,1
올라턴드 오선샌미,,5,7.25,1
올레그 아사둘린,,4.28,,1
올리버 스톤,8.95,7.208,7.29,5
올리버 파커,,5.5,7.45,1
올리버 히르비겔,7.27,6.01,7.38,4
올리비에 다한,8.705,6.435,8.215,2
올리비에 메가턴,8.06,5.195,7.473,4
올리비에 아사야스,7.99,7.595,7.995,2
올리비에르 나카체,,6.83,9.33,1
옹자광,,10,,1
와타나베 신이치로,,9.06,,1
와타나베 아유무,,7,8.07,1
와타다 신야,7.68,4.66,7.7,1
왕가위,8.707,7.864,8.08,9
왕운비,8.13,5,8.29,1
왕자명,,5.05,,1
왕정,,8.71,,2
왕종,,8.03,,1
요네바야시 히로마사,8.72,7.165,8.46,2
요르고스 란티모스,8.22,7.64,7.97,1
요시다 다이하치,8.55,6.78,8.095,2
요시우라 야스히로,9,8.61,,1
요아킴 트리에,8.14,6.82,7.95,1
용이,,8.16,,1
우니 르콩트,,7.07,8.93,1
우다 코노스케,,5.67,8,1
우디 앨런,8.475,7.21,8.063,8
우문기,8.97,6.64,8.56,1
우민호,9.075,6.447,7.957,4
우베 볼,,7.4,,1
우베르토 파솔리니,8.47,6.5,9.04,1
우선호,,5.42,7.41,1
우얼샨,,5.15,,1
우인태,,7.252,8.29,4
울루 그로스바드,,8.52,,1
울리 에델,,3.65,6.2,1
울리히 사히들,,6.94,7.33,1
울리히 에델,,8.86,,1
원규,,7.915,,4
원석호,,7.03,,1
원신연,8.27,5.99,8.28,3
원태연,,4.5,8.36,1
원화평,,8.43,,2
월리 피스터,7.61,5.96,7.95,1
월터 살레스,,8.6,,1
월트 베커,8.43,3.5,8.29,1
웨스 볼,8.375,6.18,8.185,2
웨스 앤더슨,8.835,7.46,7.893,3
웨스 크레이븐,,6.277,6.495,3
웨이 더솅,,6.55,,1
웨이 리우,7.46,6,6.98,1
웨이-하오 청,7.5,6,6.17,1
웨인 쏜리,,6.84,8.72,1
위성준,6.09,6.19,,1
위트 스틸먼,7.58,7,7.49,1
윌 캐논,6.43,5.46,6.35,2
윌 핀,7.98,6,7.95,1
윌리암 H. 머시,8.68,6.15,8.73,1
윌리엄 말론,,7.17,,1
윌리엄 브렌트 벨,7.52,5.17,7.36,1
윌리엄 와일러,9.67,9.24,,1
윌리엄 유뱅크,6.55,6.19,6.36,1
윌리엄 프리드킨,,6.49,,2
유가량,,9.26,,1
유릭와이,,4,5.11,1
유선동,,3.335,6.33,2
유성엽,,6.15,9.25,1
유승택,6,5.32,7.97,2
유야마 쿠니히코,8.58,7.772,8.465,5
유영식,,8.15,,1
유위강,,7.963,7.34,3
유지니오 델베즈,8.57,5.67,8.58,1
유진위,,7.23,,3
유키사다 이사오,,8.2,,2
유하,7.76,6.932,7.482,6
유해진,,6.5,10,1
유현목,,6,,1
육상효,,6.02,7.165,2
윤가은,9.21,7.66,9.18,1
윤기형,,6.27,9.09,1
윤대이,,5.33,,1
윤성현,9.4,7.53,9.21,1
윤여창,,3,5.58,1
윤인호,,7.443,7.41,3
윤재구,6.89,3.71,5.41,1
윤재근,,5.63,7.54,1
윤제균,9.16,6.368,8.237,5
윤종빈,7.34,7.04,7.845,4
윤종석,,5.38,6.65,1
윤종찬,,6.543,7.885,3
윤준형,7.53,6.67,6.98,1
윤태용,,5.33,7.62,1
윤태윤,,4.67,8.11,1
융,8.92,6.8,8.95,1
이 리,,5,4.43,1
이가라시 타쿠야,9.5,,,1
이강림,,3.92,,1
이건동,,3.06,,1
이경규,,8.87,,1
이경미,7.01,6.92,6.525,2
이경호,8.68,6,8.74,1
이계벽,8.76,5.68,8.48,1
이광국,7.76,7.155,7.8,2
이광재,,5.79,7.87,1
이광훈,,5.12,,1
이권,6.7,5.9,5.67,2
이규만,,5.57,7.87,1
이근우,,6.38,8.19,1
이나정,9.08,6,8.95,1
이누도 잇신,8.75,6.95,8.75,4
이대희,,7,8.65,1
이덕희,,6,7.1,1
이도윤,7.45,6.29,7.76,1
이돈구,8.16,6,8.24,1
이동승,,5.9,7.38,1
이동하,9.7,6.5,9.23,1
이동현,,5.62,,1
이동희,7,6.62,,1
이두용,,8.4,,1
이두환,6.25,4.33,7.51,1
이두희,,5.74,,1
이마오카 신지,,5.4,,1
이명세,8.5,7.247,5.885,3
이무영,,5.79,,1
이미연,,8.73,,1
이바노 데 마테오,8.74,7.15,8.47,1
이반 라이트만,8.18,5.825,7.87,2
이반 엔글러,,5.96,,1
이병일,,6.5,,1
이병헌,8.6,5.88,7.67,1
이브 로베르,,9.26,,1
이삭 가바에프,,2.84,,1
이상기,,4.67,7.55,1
이상민,9.77,7,7.96,1
이상빈,,3.6,,1
이상용,,2.67,5.07,1
이상우,,5.507,5.59,3
이상일,8.74,8.053,7.74,3
이상호,9.57,6.5,6.41,1
이상화,,4.07,,1
이상훈,,4,6.07,1
이서,5.99,4.25,6.54,2
이서군,,5.58,7.37,1
이석훈,8.59,5.32,7.936,5
이성강,8.955,6.717,8.26,3
이성은,,6.5,4.78,1
이성태,7.89,5.44,6.11,1
이성한,,6.25,9.27,1
이세야 유스케,,5,7,1
이소현,9.24,6,9.49,1
이송희일,8.805,6.825,7.815,2
이수성,6.15,2.5,4.65,2
이수연,6.63,6.325,6.57,2
이수진,8.57,7.78,8.78,1
이숭환,,3.76,,1
이승무,,5.42,5.94,1
이시다테 타이치,9.1,8.86,,1
이시명,,8.01,,1
이시이 카츠히토,,7.08,,1
이시하라 타츠야,8.66,7.79,9.05,3
이시하마 마사시,8.77,7.97,,1
이안,9.67,7.793,8.405,6
이안 샤프,,8.17,,1
이안 소프틀리,,5,5.97,1
이언 소프트리,,4.67,7.81,1
이언희,8.53,7.167,8.34,3
이연우,7.54,6.07,8.015,2
이영미,,5.5,7.62,1
이영민,9,7.97,,1
이영준,7.58,7.56,,1
이와사키 토모코,,1.26,,1
이와이 슌지,8.654,7.87,8.23,8
이요섭,8.42,6.28,8.46,1
이용민,,7.88,,1
이용승,8,6.7,8.88,1
이용주,10,7.22,8.265,2
이우철,5.95,5.05,6.17,1
이원석,7.79,6.045,7.305,2
이원세,,7.67,,1
이원식,9.8,5.58,7.8,1
이윤기,7.55,6.575,7.17,4
이윤정,6.76,4.36,6.72,1
이윤호,10,8.67,,1
이은희,8.94,5.5,8.79,1
이인항,8.62,5.652,6.893,5
이일하,9.12,6.41,8.61,1
이일형,8.56,5.94,7.95,1
이장호,8.82,6,4.46,1
이재규,7.43,5.64,7.06,1
이재용,7.98,6.872,6.052,6
이재한,8.7,5.566,7.833,5
이정국,,8.6,,1
이정범,6.82,5.613,7.603,3
이정욱,,8.5,,1
이정원,,6.32,,1
이정철,,5.17,8.6,1
이정향,,9.07,,2
이정호,7.49,6.22,7.66,2
이정황,,6,5.86,1
이제락,5,3.81,,1
이종용,,3.3,4.58,1
이종필,7.675,6.283,6.79,3
이종훈,5.63,3,5.4,1
이주영,8.03,5.63,8.12,1
이주형,,7,8.22,1
이준익,8.835,7.075,8.44,10
이즈츠 카즈유키,,8,8.79,1
이지 바르타,,7.41,,1
이지승,8.915,6.625,7.255,2
이지호,,6,7.08,1
이진석,,8.09,,1
이진혁,,5,9.14,1
