"","user_pk","id","12세 관람가_mean","12세 관람가_std","12세 관람가_count","15세 관람가_mean","15세 관람가_std","15세 관람가_count","G_mean","G_std","G_count","NR_mean","NR_std","NR_count","PG_mean","PG_std","PG_count","PG-13_mean","PG-13_std","PG-13_count","R_mean","R_std","R_count","전체 관람가_mean","전체 관람가_std","전체 관람가_count","청소년 관람불가_mean","청소년 관람불가_std","청소년 관람불가_count"
"1413",13304,"eun_****",7.85714285714286,3.13635691430002,7,7.5,2.72335577306136,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,2,8.16666666666667,2.85287379477062,6
"1414",13314,"nada****",9.25,1.42156017576933,12,5.77777777777778,3.65486315631078,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3.3166247903554,6,8.85714285714286,2.79941684889506,7
"1415",13357,"tank****",6.88888888888889,3.98453801712025,9,7.57142857142857,3.37457480314792,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.625,3.56852560590505,8
"1416",13386,"rkda****",8.93333333333333,2.37954243967663,15,9.55555555555556,1.21207912384841,18,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,6.55555555555556,3.20108006464176,9,6.66666666666667,1.24721912892464,3
"1417",13425,"fres****",7.5,2.46644143115812,12,7.71428571428571,3.07281253426699,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,7.83333333333333,3.41158158174312,12
"1418",13454,"hito****",8,2.69679944985297,11,7.36363636363636,2.18560277821297,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1.93907194296653,10,8.5,1.5,4
"1419",13587,"yeri****",7.5,2.87228132326901,16,8.73333333333333,1.69181033872661,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,3.6,5,7,2.95803989154981,8
"1420",13603,"yumi****",9.3,1.41774468787578,10,6.6,3.64783040541452,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,0.433012701892219,4,4.4,3.77359245282264,5
"1421",13745,"fami****",7,3.30500785522167,13,7,4.24264068711928,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57142857142857,3.11022015101103,7,5.16666666666667,4.21966296705739,6
"1422",13774,"tkrh****",8.41666666666667,2.84189881749666,12,8.71428571428571,2.81395937194175,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,3,7.66666666666667,3.29983164553722,3
"1423",13775,"cari****",7.7,3.66196668472011,10,8.04761904761905,3.38731795119595,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,10,0,7
"1424",13788,"chie****",8.66666666666667,2.05480466765633,15,4.42857142857143,2.96922995583236,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,7.5,2.3629078131263,6
